epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,2476.67,0.82169,1.55105,0.74526,1.03746,0.89998,0.88905,0.95512,0.72838,0.90381,0.8924,0.96146,0.64163,0.83213,1.43098,0.56452,1.03181,0.0081784,0.0081784,0.0081784
94,2503.09,0.82788,1.56852,0.62744,1.03757,0.9247,0.93739,0.97621,0.75102,0.9175,0.93014,0.97569,0.64216,0.7969,1.45384,0.51068,0.99611,0.0081586,0.0081586,0.0081586
95,2529.68,0.81815,1.55815,0.62225,1.0369,0.91437,0.92592,0.96773,0.73919,0.9211,0.92709,0.97199,0.63609,0.82468,1.46605,0.5438,1.02476,0.0081388,0.0081388,0.0081388
96,2556.18,0.82265,1.55966,0.63077,1.04091,0.89724,0.94426,0.97145,0.75295,0.8991,0.94959,0.97631,0.64447,0.8164,1.4364,0.52445,1.01926,0.008119,0.008119,0.008119
97,2582.72,0.82031,1.57217,0.62602,1.03642,0.89329,0.93213,0.96678,0.74089,0.90284,0.92144,0.96713,0.6378,0.83339,1.45761,0.52878,1.03577,0.0080992,0.0080992,0.0080992
98,2609.28,0.81444,1.55944,0.62386,1.03271,0.92818,0.92801,0.97022,0.75149,0.92729,0.92804,0.97572,0.64168,0.80164,1.44492,0.52053,1.01334,0.0080794,0.0080794,0.0080794
99,2635.87,0.80641,1.54131,0.61392,1.02622,0.92389,0.92144,0.97429,0.75859,0.93048,0.9269,0.9765,0.65938,0.79281,1.41541,0.52494,1.01754,0.0080596,0.0080596,0.0080596
100,2662.33,0.81092,1.55177,0.62656,1.03531,0.92343,0.93945,0.97373,0.75324,0.93012,0.94395,0.977,0.65209,0.80764,1.42116,0.52625,1.01019,0.0080398,0.0080398,0.0080398
101,2688.88,0.82539,1.54662,0.62963,1.04627,0.89714,0.93282,0.96809,0.75411,0.89838,0.94052,0.9719,0.63545,0.80354,1.46135,0.5408,1.01879,0.00802,0.00802,0.00802
102,2715.1,0.81323,1.55362,0.62025,1.04276,0.93986,0.93539,0.97756,0.74984,0.94615,0.93275,0.98001,0.64434,0.80082,1.4421,0.52682,1.01409,0.0080002,0.0080002,0.0080002
103,2741.59,0.79622,1.5267,0.61101,1.02231,0.9205,0.92222,0.96767,0.757,0.92879,0.92071,0.97086,0.65468,0.80429,1.41046,0.52608,1.0022,0.0079804,0.0079804,0.0079804
104,2768.06,0.79978,1.56671,0.61877,1.02992,0.91345,0.9292,0.96612,0.75467,0.91414,0.92486,0.97184,0.6391,0.79551,1.44599,0.50736,1.01646,0.0079606,0.0079606,0.0079606
105,2796.9,0.79221,1.5334,0.62544,1.02412,0.91087,0.9447,0.97185,0.76664,0.91451,0.94615,0.97532,0.64199,0.77488,1.44138,0.51291,0.99439,0.0079408,0.0079408,0.0079408
106,2823.37,0.79512,1.52558,0.60099,1.02557,0.9044,0.94536,0.97339,0.75509,0.90643,0.94791,0.97546,0.65743,0.79778,1.42096,0.51629,1.01955,0.007921,0.007921,0.007921
107,2850.47,0.77942,1.49753,0.59952,1.02116,0.94204,0.9173,0.9758,0.75941,0.94313,0.91273,0.97644,0.65514,0.81263,1.39651,0.52744,1.03034,0.0079012,0.0079012,0.0079012
108,2876.84,0.79489,1.52644,0.60416,1.02714,0.92139,0.94179,0.97908,0.76518,0.9197,0.93994,0.97881,0.65838,0.77987,1.39885,0.4996,0.99796,0.0078814,0.0078814,0.0078814
109,2903.37,0.79232,1.51791,0.59699,1.02232,0.93916,0.92392,0.97941,0.77454,0.95159,0.92067,0.98334,0.66829,0.76829,1.36295,0.49801,0.98452,0.0078616,0.0078616,0.0078616
110,2929.85,0.79213,1.52107,0.60822,1.02642,0.92314,0.91764,0.97141,0.7568,0.94212,0.92691,0.97752,0.65922,0.81095,1.40207,0.50957,1.02749,0.0078418,0.0078418,0.0078418
111,2956.11,0.79804,1.49899,0.60369,1.02649,0.91008,0.94247,0.9676,0.7485,0.90561,0.93841,0.97109,0.64454,0.79592,1.39462,0.52596,1.01268,0.007822,0.007822,0.007822
112,2982.67,0.7764,1.49034,0.58686,1.01665,0.92764,0.92945,0.97574,0.77474,0.93597,0.9429,0.98401,0.67212,0.76652,1.35202,0.48885,0.99649,0.0078022,0.0078022,0.0078022
113,3010.71,0.77119,1.49624,0.57992,1.01325,0.93958,0.91858,0.9701,0.75103,0.93277,0.93197,0.97685,0.65131,0.79753,1.38786,0.51671,1.00417,0.0077824,0.0077824,0.0077824
114,3037.24,0.77688,1.53349,0.58136,1.01688,0.90652,0.94953,0.97931,0.7683,0.90695,0.95014,0.98008,0.6625,0.76683,1.36811,0.50031,0.98743,0.0077626,0.0077626,0.0077626
115,3063.59,0.77759,1.48892,0.58467,1.01879,0.94785,0.95579,0.98629,0.77603,0.94715,0.95883,0.98731,0.6718,0.7719,1.36231,0.47878,0.99208,0.0077428,0.0077428,0.0077428
116,3090.22,0.7695,1.48509,0.57834,1.01113,0.93263,0.93061,0.97887,0.76888,0.9471,0.92183,0.97911,0.65785,0.77185,1.38647,0.50012,0.99202,0.007723,0.007723,0.007723
117,3116.85,0.77145,1.48148,0.57567,1.01223,0.95705,0.93587,0.98136,0.78979,0.94385,0.95374,0.98566,0.68414,0.73664,1.30721,0.46028,0.96428,0.0077032,0.0077032,0.0077032
118,3143.6,0.7694,1.4923,0.57503,1.01237,0.92679,0.95128,0.97927,0.76196,0.9236,0.95236,0.98074,0.66087,0.77207,1.37594,0.49904,0.99238,0.0076834,0.0076834,0.0076834
119,3169.95,0.77461,1.50403,0.57999,1.01652,0.93287,0.9351,0.98134,0.7758,0.93507,0.93843,0.98316,0.67109,0.76404,1.34326,0.47396,0.99327,0.0076636,0.0076636,0.0076636
120,3196.55,0.77359,1.48829,0.58907,1.01801,0.92579,0.95271,0.98183,0.77259,0.92505,0.95209,0.98267,0.66278,0.75727,1.35921,0.49198,0.98623,0.0076438,0.0076438,0.0076438
121,3223.62,0.76459,1.46185,0.56861,1.00367,0.9321,0.95202,0.98272,0.77798,0.92222,0.95799,0.98509,0.67841,0.75062,1.33241,0.48777,0.98977,0.007624,0.007624,0.007624
122,3250.6,0.76153,1.45448,0.56744,1.00446,0.92441,0.94235,0.98012,0.78571,0.92655,0.94611,0.98318,0.68214,0.73014,1.31195,0.47679,0.97005,0.0076042,0.0076042,0.0076042
123,3277.48,0.75083,1.44685,0.55878,1.00485,0.95049,0.93335,0.98187,0.79084,0.95303,0.93561,0.9834,0.68543,0.73527,1.33032,0.46312,0.97056,0.0075844,0.0075844,0.0075844
124,3304.31,0.75616,1.4536,0.57597,1.00792,0.9489,0.96021,0.98833,0.79628,0.94451,0.9588,0.98794,0.69416,0.7246,1.30626,0.45884,0.97214,0.0075646,0.0075646,0.0075646
